
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                   10846.39
8                   11477.77
16                  10519.82
32                  10817.17
64                  10838.91
128                 10811.64
256                 10848.34
512                 10886.26
1024                10593.09
2048                11415.85
4096                11296.04
8192                11365.81
16384               11475.99
32768               19828.32
65536               19891.01
131072              19880.60
262144              19878.95
524288              20060.63
1048576             23326.24
