
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                   10842.36
8                   10937.66
16                  10289.16
32                  10853.87
64                  10920.43
128                 10854.88
256                 10799.63
512                 10885.31
1024                10614.97
2048                11241.29
4096                11570.94
8192                11425.70
16384               11564.86
32768               19786.62
65536               20014.05
131072              19877.28
262144              19798.03
524288              20133.47
1048576             20455.80
