
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    2899.71
8                    2895.26
16                   3019.62
32                   2914.37
64                   2898.25
128                  3021.12
256                  2973.82
512                  2857.17
1024                 3034.59
2048                 2783.63
4096                 2957.48
8192                 2797.81
16384                5915.83
32768                5972.64
65536                6047.68
131072               6167.10
262144               7032.30
524288               6768.88
1048576              9618.32
