
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    2859.39
8                    2681.30
16                   2799.50
32                   2891.97
64                   2948.63
128                  2817.79
256                  2866.88
512                  2937.00
1024                 3024.87
2048                 2749.86
4096                 2936.53
8192                 2825.98
16384                6012.67
32768                6026.88
65536                6606.33
131072               6242.01
262144               6133.30
524288               7499.53
1048576              8913.01
