
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    2714.26
8                    2756.12
16                   2721.01
32                   2814.50
64                   2878.13
128                  2870.74
256                  2932.99
512                  2806.19
1024                 2856.34
2048                 2702.78
4096                 2803.19
8192                 2772.74
16384                5989.55
32768                6146.34
65536                6094.11
131072               6338.97
262144               6973.12
524288               7648.17
1048576              9307.57
