
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    2937.94
8                    2820.68
16                   2872.48
32                   2769.10
64                   2911.25
128                  2775.34
256                  2817.35
512                  2911.93
1024                 2860.89
2048                 2759.64
4096                 2790.78
8192                 2770.30
16384                5795.13
32768                6002.30
65536                6305.93
131072               6259.21
262144               9354.60
524288               7001.97
1048576              9016.84
