
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    2562.06
8                    2521.10
16                   2681.44
32                   2627.26
64                   2679.38
128                  2657.75
256                  2797.89
512                  2863.76
1024                 2774.24
2048                 2745.73
4096                 2773.63
8192                 2756.27
16384                5815.26
32768                5832.44
65536                6274.63
131072               6453.40
262144               6734.69
524288               7253.34
1048576              9491.97
