# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  9)   0.744 us    |  finish_task_switch.isra.0();
  8)               |                        tcp_ack_update_rtt() {
  8)               |                          tcp_rtt_estimator() {
  8)   0.097 us    |                            jiffies_to_usecs();
  8)   0.534 us    |                          }
  8)   0.097 us    |                          __usecs_to_jiffies();
  8)   1.073 us    |                        }
  8)               |                        cubictcp_acked() {
  8)   0.107 us    |                          hystart_update();
  8)   0.367 us    |                        }
  8)   5.699 us    |                      }
  8)   0.126 us    |                      tcp_rack_update_reo_wnd();
  8)               |                      tcp_schedule_loss_probe() {
  8)               |                        tcp_schedule_loss_probe.part.0() {
  8)   0.098 us    |                          __usecs_to_jiffies();
  8)   0.097 us    |                          jiffies_to_usecs();
  8)   0.099 us    |                          __usecs_to_jiffies();
  8)               |                          sk_reset_timer() {
  8)               |                            mod_timer() {
  8)               |                              lock_timer_base() {
  8)   0.190 us    |                                _raw_spin_lock_irqsave();
  8)   0.402 us    |                              }
  8)   0.109 us    |                              calc_wheel_index();
  8)   0.120 us    |                              detach_if_pending();
  8)   0.366 us    |                              _raw_spin_lock();
  8)   0.144 us    |                              enqueue_timer();
  8)   0.174 us    |                              _raw_spin_unlock_irqrestore();
  8)   2.310 us    |                            }
  8)   2.544 us    |                          }
  8)   3.423 us    |                        }
  8)   3.732 us    |                      }
  8)   0.202 us    |                      tcp_newly_delivered();
  8)   0.176 us    |                      tcp_rate_gen();
  8)   0.126 us    |                      cubictcp_cong_avoid();
  8)   0.132 us    |                      tcp_update_pacing_rate();
  8)   0.104 us    |                      tcp_xmit_recovery();
  8) + 12.082 us   |                    }
  8)   0.100 us    |                    tcp_urg();
  8)               |                    tcp_data_queue() {
  8)   0.100 us    |                      tcp_try_rmem_schedule();
  8)               |                      tcp_queue_rcv() {
  8)   0.099 us    |                        tcp_rcv_sne_update();
  8)   0.362 us    |                      }
  8)               |                      tcp_event_data_recv() {
  8)   0.120 us    |                        tcp_measure_rcv_mss();
  8)   0.406 us    |                      }
  8)               |                      tcp_data_ready() {
  8)               |                        sock_def_readable() {
  8)               |                          __wake_up_sync_key() {
  8)   0.102 us    |                            _raw_spin_lock_irqsave();
  8)               |                            __wake_up_common() {
  8)   0.105 us    |                              pollwake();
  8)               |                              pollwake() {
  8)               |                                default_wake_function() {
  8)               |                                  try_to_wake_up() {
  8)   0.204 us    |                                    _raw_spin_lock_irqsave();
  8)               |                                    select_task_rq_fair() {
  8)               |                                      wake_affine() {
  8)   0.162 us    |                                        available_idle_cpu();
  8)   0.156 us    |                                        cpus_share_cache();
  8)   0.125 us    |                                        available_idle_cpu();
  8)   1.012 us    |                                      }
  8)               |                                      select_idle_sibling() {
  8)   0.100 us    |                                        available_idle_cpu();
  8)   0.314 us    |                                      }
  8)   1.820 us    |                                    }
  8)               |                                    ttwu_queue_wakelist() {
  8)               |                                      __smp_call_single_queue() {
  8)   0.206 us    |                                        call_function_single_prep_ipi();
  8)   0.542 us    |                                      }
  8)   0.838 us    |                                    }
  8)   0.104 us    |                                    _raw_spin_unlock_irqrestore();
  8)   3.858 us    |                                  }
  8)   4.096 us    |                                }
  8)   4.301 us    |                              }
  8)   4.984 us    |                            }
  8)   0.107 us    |                            _raw_spin_unlock_irqrestore();
  8)   5.616 us    |                          }
  8)   5.928 us    |                        }
  8)   6.177 us    |                      }
  8)   7.750 us    |                    }
  8)   0.100 us    |                    tcp_check_space();
  8)               |                    __tcp_ack_snd_check() {
  8)               |                      tcp_send_delayed_ack() {
  8)   0.097 us    |                        __usecs_to_jiffies();
  8)   0.097 us    |                        tcp_delack_max();
