
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      63.79
8                      62.46
16                     62.75
32                     63.56
64                     62.65
128                    63.56
256                    65.15
512                    67.38
1024                   69.03
2048                   70.18
4096                  131.42
8192                  134.32
16384                 141.40
32768                 153.21
65536                 176.26
131072                210.35
262144                272.85
524288                401.48
1048576               918.20
