
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     285.68
8                     279.29
16                    290.57
32                    248.61
64                    263.40
128                   278.16
256                   289.78
512                   295.32
1024                  265.70
2048                  339.30
4096                  347.68
8192                  396.20
16384                 853.98
32768                 557.62
65536                 886.53
131072               1743.73
262144                836.75
524288                921.82
1048576              1485.48
