
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     256.73
8                     275.51
16                    276.89
32                    265.72
64                    245.39
128                   255.61
256                   263.08
512                   291.10
1024                  283.23
2048                  320.96
4096                  353.35
8192                  393.64
16384                 893.33
32768                 498.40
65536                 864.29
131072               1769.07
262144                853.60
524288               1048.27
1048576              1635.55
