
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     254.46
8                     271.25
16                    267.76
32                    266.95
64                    273.35
128                   261.93
256                   298.07
512                   270.87
1024                  272.52
2048                  318.76
4096                  357.13
8192                  370.57
16384                 895.25
32768                 557.92
65536                 898.82
131072               1703.28
262144                773.24
524288                992.78
1048576              1608.58
