
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     247.44
8                     250.27
16                    263.39
32                    274.49
64                    278.65
128                   260.92
256                   303.27
512                   279.41
1024                  312.12
2048                  366.83
4096                  361.07
8192                  387.05
16384                 912.76
32768                 547.30
65536                 807.39
131072               1710.58
262144                767.66
524288               1170.92
1048576              1773.49
