
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     386.54
8                     381.88
16                    385.19
32                    385.35
64                    363.81
128                   402.92
256                   372.08
512                   419.45
1024                  393.17
2048                  473.94
4096                  734.89
8192                  767.65
16384                 789.80
32768                 814.93
65536                 851.70
131072               1040.32
262144               1014.09
524288               1374.88
1048576              2397.39
