
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     382.67
8                     376.44
16                    370.40
32                    375.70
64                    370.18
128                   364.72
256                   406.66
512                   413.68
1024                  418.30
2048                  481.73
4096                  777.70
8192                  755.08
16384                 800.29
32768                 833.86
65536                 902.76
131072                955.51
262144               1012.87
524288               1248.69
1048576              2373.62
