
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     389.76
8                     381.27
16                    386.00
32                    381.47
64                    395.22
128                   390.42
256                   372.78
512                   390.20
1024                  353.04
2048                  479.54
4096                  722.25
8192                  761.16
16384                 734.00
32768                 780.84
65536                 694.34
131072                866.07
262144               1230.17
524288               1390.96
1048576              2304.27
