
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     388.10
8                     383.29
16                    387.18
32                    345.73
64                    376.09
128                   378.68
256                   415.55
512                   376.38
1024                  414.60
2048                  499.79
4096                  726.00
8192                  777.18
16384                 830.82
32768                 824.96
65536                 918.14
131072               1039.44
262144               1092.84
524288               1448.32
1048576              2447.68
