
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    1127.68
8                    1265.45
16                   1252.17
32                   1258.53
64                   1237.32
128                  1185.19
256                  1238.14
512                  1288.34
1024                 1365.46
2048                 1225.62
4096                 1342.51
8192                 1388.18
16384                2482.59
32768                2673.35
65536                3183.19
131072               2930.26
262144               3301.58
524288               3295.65
1048576              5088.59
