
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    1199.47
8                    1197.81
16                   1267.12
32                   1196.18
64                   1216.67
128                  1197.82
256                  1268.00
512                  1218.32
1024                 1268.53
2048                 1321.53
4096                 1345.37
8192                 1441.71
16384                2529.43
32768                2678.27
65536                2943.00
131072               3173.22
262144               3083.95
524288               3203.60
1048576              5140.96
