
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    1155.99
8                    1258.03
16                   1261.95
32                   1318.62
64                   1428.29
128                  1304.17
256                  1341.35
512                  1341.89
1024                 1310.98
2048                 1343.22
4096                 1280.85
8192                 1375.17
16384                2510.47
32768                2785.62
65536                2614.66
131072               3018.47
262144               2887.97
524288               3716.91
1048576              5134.59
