
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    1185.58
8                    1243.70
16                   1255.38
32                   1248.93
64                   1289.20
128                  1280.19
256                  1332.90
512                  1216.53
1024                 1299.66
2048                 1233.35
4096                 1281.27
8192                 1411.88
16384                2549.97
32768                2656.24
65536                3136.18
131072               2770.93
262144               3107.48
524288               3674.30
1048576              5444.85
