
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    5483.02
8                    5403.49
16                   5464.87
32                   5466.41
64                   5499.91
128                  5376.68
256                  5455.90
512                  5627.12
1024                 5505.82
2048                 5221.80
4096                 5385.64
8192                 5418.77
16384               12343.90
32768               12558.66
65536               13274.65
131072              13294.41
262144              13388.76
524288              14427.18
1048576             15163.87
