
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    5448.12
8                    5491.05
16                   5376.39
32                   5486.28
64                   5452.90
128                  5348.82
256                  5413.64
512                  5410.31
1024                 5571.14
2048                 5245.54
4096                 5375.13
8192                 5356.10
16384               12599.06
32768               12772.20
65536               12560.97
131072              12849.02
262144              13833.75
524288              14043.52
1048576             15496.01
