
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    5451.52
8                    5503.27
16                   5319.22
32                   5458.54
64                   5551.70
128                  5439.25
256                  5443.97
512                  5555.95
1024                 5387.38
2048                 5379.13
4096                 5281.08
8192                 5346.14
16384               12393.79
32768               12747.95
65536               13524.94
131072              13615.04
262144              13978.56
524288              13956.40
1048576             14885.98
