
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    5384.83
8                    5429.56
16                   5346.31
32                   5455.40
64                   5381.54
128                  5435.92
256                  5454.85
512                  5477.21
1024                 5400.59
2048                 5317.98
4096                 5270.82
8192                 5407.33
16384               12473.78
32768               12726.31
65536               13431.70
131072              13822.06
262144              13622.67
524288              14773.31
1048576             15672.67
