
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                    5471.13
8                    5519.92
16                   5438.07
32                   5378.28
64                   5500.36
128                  5536.52
256                  5363.33
512                  5573.51
1024                 5514.44
2048                 5216.45
4096                 5437.63
8192                 5435.19
16384               12588.76
32768               12518.10
65536               12990.33
131072              13033.14
262144              13327.72
524288              13628.78
1048576             15587.12
