# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      50.67
1                      50.05
2                      50.79
4                      49.54
8                      50.59
16                     50.77
32                     51.91
64                     52.22
128                    52.15
256                    53.66
512                    52.11
1024                   53.78
2048                   64.40
4096                   66.07
8192                   67.48
16384                  69.60
32768                  78.35
65536                 194.45
131072                211.17
262144                235.70
524288                282.90
1048576               386.06
2097152               614.43
4194304              1101.37
