# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      57.97
1                      59.16
2                      58.48
4                      58.97
8                      58.52
16                     58.47
32                     58.79
64                     59.00
128                    59.32
256                    60.31
512                    60.27
1024                   60.03
2048                   70.84
4096                   71.35
8192                   73.05
16384                  75.81
32768                  84.45
65536                 208.30
131072                228.74
262144                257.99
524288                311.29
1048576               415.25
2097152               632.33
4194304              1184.64
