# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      51.67
1                      51.15
2                      50.65
4                      50.75
8                      52.45
16                     51.01
32                     51.20
64                     51.29
128                    50.76
256                    52.00
512                    52.21
1024                   52.45
2048                   65.11
4096                   66.89
8192                   67.67
16384                  70.80
32768                  78.37
65536                 194.26
131072                212.60
262144                238.07
524288                286.09
1048576               390.40
2097152               638.17
4194304              1084.55
