# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      55.74
1                      56.03
2                      55.17
4                      55.25
8                      55.70
16                     55.91
32                     55.79
64                     55.83
128                    55.02
256                    56.54
512                    56.90
1024                   57.04
2048                   68.65
4096                   68.13
8192                   69.09
16384                  71.08
32768                  78.46
65536                 196.39
131072                214.91
262144                243.71
524288                302.11
1048576               402.63
2097152               685.71
4194304              1152.95
