# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      52.38
1                      52.59
2                      52.35
4                      52.80
8                      52.12
16                     53.18
32                     53.64
64                     53.78
128                    53.56
256                    55.07
512                    54.74
1024                   56.24
2048                   66.04
4096                   66.48
8192                   68.11
16384                  70.23
32768                  78.76
65536                 194.85
131072                213.47
262144                241.90
524288                288.96
1048576               386.15
2097152               597.14
4194304              1111.43
