# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      54.51
1                      55.31
2                      54.65
4                      54.40
8                      54.80
16                     55.63
32                     54.56
64                     54.92
128                    55.47
256                    54.01
512                    50.52
1024                   50.95
2048                   66.02
4096                   77.75
8192                   71.87
16384                  76.74
32768                  83.36
65536                 214.27
131072                232.12
262144                256.62
524288                305.99
1048576               401.01
2097152               637.96
4194304              1136.08
