# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      52.71
1                      53.00
2                      53.36
4                      52.70
8                      52.86
16                     52.71
32                     52.36
64                     53.77
128                    54.23
256                    54.31
512                    53.01
1024                   53.91
2048                   68.06
4096                   69.66
8192                   70.50
16384                  72.15
32768                  79.92
65536                 203.77
131072                223.46
262144                251.73
524288                301.86
1048576               397.64
2097152               653.41
4194304              1169.24
