# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      51.79
1                      52.62
2                      52.24
4                      51.76
8                      51.56
16                     51.99
32                     52.39
64                     52.45
128                    52.74
256                    52.99
512                    53.25
1024                   53.35
2048                   68.19
4096                   69.37
8192                   69.97
16384                  72.27
32768                  78.76
65536                 198.79
131072                216.70
262144                243.72
524288                291.94
1048576               393.30
2097152               637.91
4194304              1033.97
