# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      58.50
1                      57.77
2                      59.25
4                      58.33
8                      57.45
16                     56.85
32                     57.82
64                     57.80
128                    58.10
256                    58.98
512                    59.33
1024                   59.35
2048                   72.76
4096                   77.69
8192                   76.22
16384                  78.00
32768                  85.58
65536                 219.07
131072                237.66
262144                262.45
524288                313.60
1048576               408.13
2097152               651.34
4194304              1155.08
