# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      50.50
1                      49.21
2                      49.41
4                      50.52
8                      51.02
16                     50.53
32                     50.30
64                     51.50
128                    50.16
256                    52.44
512                    51.56
1024                   52.65
2048                   66.20
4096                   67.15
8192                   68.06
16384                  69.95
32768                  78.11
65536                 197.33
131072                215.13
262144                243.23
524288                297.01
1048576               407.18
2097152               643.86
4194304              1222.33
