# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      51.43
1                      51.62
2                      50.62
4                      51.09
8                      51.16
16                     50.82
32                     52.06
64                     52.05
128                    50.91
256                    52.08
512                    52.73
1024                   53.89
2048                   67.81
4096                   68.19
8192                   68.95
16384                  69.62
32768                  77.60
65536                 191.09
131072                210.25
262144                237.60
524288                287.08
1048576               390.18
2097152               645.52
4194304              1153.45
