# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      53.18
1                      52.85
2                      53.57
4                      52.93
8                      52.42
16                     52.04
32                     50.65
64                     51.20
128                    51.28
256                    52.39
512                    51.83
1024                   53.26
2048                   63.51
4096                   65.05
8192                   66.83
16384                  69.89
32768                  78.09
65536                 192.32
131072                213.07
262144                240.75
524288                291.40
1048576               401.23
2097152               673.95
4194304              1154.89
