# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      47.51
1                      47.66
2                      47.16
4                      47.49
8                      48.09
16                     48.71
32                     48.08
64                     47.57
128                    47.87
256                    50.05
512                    48.93
1024                   49.21
2048                   63.24
4096                   65.95
8192                   66.65
16384                  69.29
32768                  76.53
65536                 191.17
131072                208.72
262144                238.56
524288                291.41
1048576               401.28
2097152               686.96
4194304              1136.06
