# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      50.83
1                      51.91
2                      51.76
4                      52.34
8                      51.37
16                     52.45
32                     52.26
64                     52.96
128                    51.44
256                    52.82
512                    52.75
1024                   53.06
2048                   66.73
4096                   68.08
8192                   69.04
16384                  70.58
32768                  77.97
65536                 195.57
131072                213.20
262144                243.51
524288                294.16
1048576               396.90
2097152               607.68
4194304              1184.00
