# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      56.52
1                      55.96
2                      55.42
4                      55.78
8                      56.34
16                     54.84
32                     54.98
64                     55.28
128                    55.24
256                    55.95
512                    56.11
1024                   56.93
2048                   68.89
4096                   69.41
8192                   70.76
16384                  73.36
32768                  81.98
65536                 202.65
131072                220.66
262144                250.07
524288                299.04
1048576               402.47
2097152               661.49
4194304              1040.62
