# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      57.60
1                      56.45
2                      56.31
4                      56.56
8                      56.37
16                     56.61
32                     57.51
64                     56.38
128                    56.10
256                    57.22
512                    57.60
1024                   57.58
2048                   70.13
4096                   74.16
8192                   72.43
16384                  75.23
32768                  83.84
65536                 206.43
131072                226.83
262144                253.78
524288                310.33
1048576               414.73
2097152               663.61
4194304              1138.94
