
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                   11608.43
8                   11562.93
16                  11998.00
32                  11701.23
64                  11580.53
128                 11505.36
256                 11664.73
512                 11833.24
1024                12102.44
2048                12235.76
4096                12242.20
8192                12431.00
16384               12823.44
32768               22917.00
65536               22341.28
131072              22964.20
262144              23173.09
524288              23575.12
1048576             23374.56
